2 B-DATE
0 I-DATE
0 I-DATE
8 I-DATE
年 I-DATE
6 I-DATE
月 I-DATE
1 I-DATE
2 I-DATE
日 I-DATE
1 B-TIME
9 I-TIME
时 I-TIME
4 I-TIME
0 I-TIME
分 I-TIME
， O
云 O
南 O
省 O
昆 O
明 O
市 O
安 B-PORG
宁 I-PORG
齐 I-PORG
天 I-PORG
化 I-PORG
肥 I-PORG
有 I-PORG
限 I-PORG
公 I-PORG
司 I-PORG
（ O
以 O
下 O
简 O
称 O
齐 B-PORG
天 I-PORG
公 I-PORG
司 I-PORG
） O
在 O
脱 O
砷 O
精 O
制 O
磷 O
酸 O
试 O
生 O
产 O
过 O
程 O
中 O
发 O
生 O
硫 O
化 O
氢 O
中 B-TYPE
毒 I-TYPE
事 O
故 O
， O
造 O
成 O
6 B-CLOSS
人 I-CLOSS
死 I-CLOSS
亡 I-CLOSS
、 O
2 B-CLOSS
9 I-CLOSS
人 I-CLOSS
中 I-CLOSS
毒 I-CLOSS
。 O

2 B-DATE
0 I-DATE
0 I-DATE
8 I-DATE
年 I-DATE
6 I-DATE
月 I-DATE
初 O
， O
齐 B-PORG
天 I-PORG
公 I-PORG
司 I-PORG
因 O
市 O
场 O
原 O
因 O
， O
经 O
过 O
实 O
验 O
室 O
试 O
验 O
后 O
， O
决 O
定 O
自 O
行 O
将 O
过 O
磷 O
酸 O
钙 O
生 O
产 O
装 O
置 O
改 O
为 O
饲 O
料 O
磷 O
酸 O
氢 O
钙 O
生 O
产 O
装 O
置 O
， O
自 O
行 O
设 O
计 O
、 O
自 O
行 O
安 O
装 O
、 O
改 O
造 O
设 O
备 O
， O
进 O
行 O
试 O
生 O
产 O
。 O

其 O
工 O
艺 O
过 O
程 O
是 O
用 O
硫 O
化 O
钠 O
溶 O
液 O
与 O
磷 O
酸 O
中 O
的 O
砷 O
反 O
应 O
， O
生 O
成 O
硫 O
化 O
砷 O
， O
经 O
沉 O
淀 O
脱 O
水 O
去 O
除 O
， O
生 O
成 O
精 O
制 O
磷 O
酸 O
。 O

脱 O
砷 O
精 O
制 O
磷 O
酸 O
过 O
程 O
伴 O
有 O
硫 O
化 O
氢 O
气 O
体 O
产 O
生 O
。 O

